"","Age","Total","Bumiputera","Chinese","Indians","Others","Non.Malaysian.Citizens","Gender","State"
"331"," 30 - 34",79.3,34.7,24.3,6.4,0.1,13.9,"Male","PULAU PINANG"
"332"," 35 - 39",70.3,28.9,26.2,6.7,0.2,8.3,"Male","PULAU PINANG"
"333"," 40 - 44",60.1,23.2,26.3,5.5,0.2,5,"Male","PULAU PINANG"
"334"," 45 - 49",55.7,21.9,26.2,5.1,0.1,2.3,"Male","PULAU PINANG"
"335"," 50 - 54",49.9,17.9,25,4.9,0.1,1.9,"Male","PULAU PINANG"
"336"," 55 - 59",44,14.8,23.3,4.6,0.1,1.3,"Male","PULAU PINANG"
"337"," 60 - 64",36.6,11.7,20.1,3.7,0.1,1,"Male","PULAU PINANG"
"338"," 65 - 69",28.4,8.4,16.8,2.6,0.1,0.5,"Male","PULAU PINANG"
"339"," 70 - 74",19.8,5.3,12.6,1.5,0,0.3,"Male","PULAU PINANG"
"340"," 75 - 79",11,2.9,7.3,0.6,0,0.2,"Male","PULAU PINANG"
"341"," 80 - 84",6.6,1.4,4.5,0.5,0,0.2,"Male","PULAU PINANG"
"342"," 85+",4.1,1.1,2.4,0.4,0,0.2,"Male","PULAU PINANG"
"343"," 0 - 4",54.3,30.5,16.1,4.7,0.2,2.8,"Female","PULAU PINANG"
"344"," 5 - 9",54.5,30,17.2,5.7,0.3,1.4,"Female","PULAU PINANG"
"345"," 10 - 14",57.4,30.5,19.9,6.3,0.3,0.3,"Female","PULAU PINANG"
"346"," 15 - 19",66.9,31.9,24,7.1,0.3,3.7,"Female","PULAU PINANG"
"347"," 20 - 24",85.2,33.4,26.5,7.5,0.2,17.7,"Female","PULAU PINANG"
"348"," 25 - 29",86.8,36.2,25.8,7.8,0.1,16.9,"Female","PULAU PINANG"
"349"," 30 - 34",79.2,36.4,25.9,6.5,0.1,10.3,"Female","PULAU PINANG"
"350"," 35 - 39",69,29.8,26,6.5,0.1,6.5,"Female","PULAU PINANG"
"351"," 40 - 44",58.8,23.8,25,5.8,0.2,4,"Female","PULAU PINANG"
"352"," 45 - 49",56.4,21.6,26.3,6.1,0.2,2.2,"Female","PULAU PINANG"
"353"," 50 - 54",51.6,19.1,25.4,5.8,0.2,1.2,"Female","PULAU PINANG"
"354"," 55 - 59",44.4,15.7,22.3,5.4,0.1,1,"Female","PULAU PINANG"
"355"," 60 - 64",39.3,13.5,20.3,4.6,0.1,0.8,"Female","PULAU PINANG"
"356"," 65 - 69",30.9,9.6,17.5,3.3,0.1,0.4,"Female","PULAU PINANG"
"357"," 70 - 74",22.1,6.6,13.1,2.1,0.1,0.3,"Female","PULAU PINANG"
"358"," 75 - 79",13.5,4,8.3,1,0,0.2,"Female","PULAU PINANG"
"359"," 80 - 84",8.1,2,5.3,0.6,0,0.2,"Female","PULAU PINANG"
"360"," 85+",4.4,1.4,2.4,0.4,0,0.2,"Female","PULAU PINANG"
"361"," 0 - 4",155,115.6,6,0.3,7.3,25.8,"Male","SABAH"
"362"," 5 - 9",159,116.5,8.8,0.9,7.8,25,"Male","SABAH"
"363"," 10 - 14",159.5,123.3,11.5,1.1,6.8,16.9,"Male","SABAH"
"364"," 15 - 19",232.9,121.9,12.5,0.9,6.6,91,"Male","SABAH"
"365"," 20 - 24",245.9,116.8,13.7,0.5,6.9,108,"Male","SABAH"
"366"," 25 - 29",256.4,108.8,14,0.5,5.5,127.5,"Male","SABAH"
"367"," 30 - 34",195.7,93.3,13.8,0.6,4.6,83.5,"Male","SABAH"
"368"," 35 - 39",163,81.7,13.5,0.4,4.3,63.1,"Male","SABAH"
"369"," 40 - 44",116.3,59.2,11,0.3,3.2,42.6,"Male","SABAH"
"370"," 45 - 49",95,54.3,10.2,0.5,2.3,27.7,"Male","SABAH"
"371"," 50 - 54",80.2,49.8,10.3,0.4,2.3,17.4,"Male","SABAH"
"372"," 55 - 59",64.3,42.7,10.5,0.4,2.2,8.6,"Male","SABAH"
"373"," 60 - 64",46.9,30.7,8.5,0.3,1.9,5.6,"Male","SABAH"
"374"," 65 - 69",28,17.5,6.1,0.1,1.1,3.2,"Male","SABAH"
"375"," 70 - 74",16.7,10.3,4,0.1,0.7,1.7,"Male","SABAH"
"376"," 75 - 79",10.4,6.9,2.2,0.1,0.5,0.8,"Male","SABAH"
"377"," 80 - 84",5,3.2,1.2,0,0.2,0.3,"Male","SABAH"
"378"," 85+",4.7,3.2,0.6,0,0.3,0.6,"Male","SABAH"
"379"," 0 - 4",144.7,107.7,5.3,0.3,7,24.4,"Female","SABAH"
"380"," 5 - 9",152,112.2,8.3,0.7,7.4,23.5,"Female","SABAH"
"381"," 10 - 14",152.5,118,10,1,6.8,16.6,"Female","SABAH"
"382"," 15 - 19",208.5,117.1,11.8,0.8,6.2,72.7,"Female","SABAH"
"383"," 20 - 24",227.5,114.9,13.8,0.5,5.8,92.4,"Female","SABAH"
"384"," 25 - 29",234,112.3,14.2,0.5,5.6,101.4,"Female","SABAH"
"385"," 30 - 34",174,99,14.2,0.7,4.9,55.2,"Female","SABAH"
"386"," 35 - 39",145.4,82.4,13.1,0.5,4.2,45.2,"Female","SABAH"
"387"," 40 - 44",104.9,61.2,10.2,0.3,3,30.2,"Female","SABAH"
"388"," 45 - 49",86.3,55.8,9.4,0.2,2.4,18.4,"Female","SABAH"
"389"," 50 - 54",71.4,48.2,9.3,0.2,2.3,11.5,"Female","SABAH"
"390"," 55 - 59",57.5,39.4,8.7,0.2,1.9,7.3,"Female","SABAH"
"391"," 60 - 64",41.1,28.3,7.3,0.1,1.3,4.1,"Female","SABAH"
"392"," 65 - 69",26.2,16.7,5.3,0.1,0.8,3.3,"Female","SABAH"
"393"," 70 - 74",16.8,11.4,3.6,0.1,0.5,1.3,"Female","SABAH"
"394"," 75 - 79",10.9,7.7,2.1,0,0.3,0.7,"Female","SABAH"
"395"," 80 - 84",6.1,4,1.3,0,0.2,0.6,"Female","SABAH"
"396"," 85+",4.4,2.9,0.6,0,0.1,0.8,"Female","SABAH"
"397"," 0 - 4",99.4,77.2,18.5,0.2,0.5,2.9,"Male","SARAWAK"
"398"," 5 - 9",111.7,86.4,21.7,0.3,0.7,2.6,"Male","SARAWAK"
"399"," 10 - 14",120.6,94.3,24.4,0.3,1,0.6,"Male","SARAWAK"
"400"," 15 - 19",133,98.5,28.1,0.3,0.6,5.5,"Male","SARAWAK"
"401"," 20 - 24",154.2,96.6,28.4,0.4,0.3,28.5,"Male","SARAWAK"
"402"," 25 - 29",150.1,87.7,27.2,0.4,0.2,34.7,"Male","SARAWAK"
"403"," 30 - 34",117.3,73.8,22.5,0.4,0.1,20.4,"Male","SARAWAK"
"404"," 35 - 39",98.9,62.9,20.7,0.3,0.1,14.9,"Male","SARAWAK"
"405"," 40 - 44",85.7,58.3,19.2,0.3,0.1,7.9,"Male","SARAWAK"
"406"," 45 - 49",83,59.1,20.1,0.3,0.1,3.4,"Male","SARAWAK"
"407"," 50 - 54",77.1,54.9,20.2,0.3,0.1,1.6,"Male","SARAWAK"
"408"," 55 - 59",67.4,46.7,19.5,0.3,0.1,0.8,"Male","SARAWAK"
"409"," 60 - 64",54.9,36.7,17.3,0.2,0.1,0.7,"Male","SARAWAK"
"410"," 65 - 69",39.1,25.2,13.3,0.1,0.1,0.4,"Male","SARAWAK"
"411"," 70 - 74",27.6,18.5,8.7,0.1,0,0.3,"Male","SARAWAK"
"412"," 75 - 79",16.9,11.2,5.4,0.1,0,0.2,"Male","SARAWAK"
"413"," 80 - 84",9.6,6.3,3.1,0,0,0.2,"Male","SARAWAK"
"414"," 85+",8.8,6.1,2.3,0,0,0.3,"Male","SARAWAK"
"415"," 0 - 4",93.5,72.9,17.2,0.2,0.4,2.8,"Female","SARAWAK"
"416"," 5 - 9",105.9,82.5,20.1,0.2,0.7,2.4,"Female","SARAWAK"
"417"," 10 - 14",119.5,95,22.7,0.3,0.9,0.6,"Female","SARAWAK"
"418"," 15 - 19",125.7,95.1,26.4,0.3,0.5,3.4,"Female","SARAWAK"
"419"," 20 - 24",131.6,91.9,27.5,0.3,0.3,11.6,"Female","SARAWAK"
"420"," 25 - 29",127.6,87.1,27.1,0.3,0.2,12.9,"Female","SARAWAK"
"421"," 30 - 34",106.8,75.3,23,0.3,0.1,8,"Female","SARAWAK"
"422"," 35 - 39",89.4,63.3,19.9,0.3,0.1,5.9,"Female","SARAWAK"
"423"," 40 - 44",79.4,57,18.7,0.2,0.1,3.3,"Female","SARAWAK"
"424"," 45 - 49",77.3,56.4,19,0.2,0.1,1.6,"Female","SARAWAK"
"425"," 50 - 54",69.7,50.7,17.8,0.2,0.1,0.9,"Female","SARAWAK"
"426"," 55 - 59",60.5,43.3,16.4,0.2,0.1,0.5,"Female","SARAWAK"
"427"," 60 - 64",48.7,32.9,15.3,0.1,0.1,0.4,"Female","SARAWAK"
"428"," 65 - 69",37.4,24.9,12.1,0.1,0,0.2,"Female","SARAWAK"
"429"," 70 - 74",26,18.2,7.5,0.1,0,0.2,"Female","SARAWAK"
"430"," 75 - 79",17.6,12,5.3,0,0,0.1,"Female","SARAWAK"
"431"," 80 - 84",10.4,6.9,3.4,0,0,0.1,"Female","SARAWAK"
"432"," 85+",9.8,6.9,2.7,0.1,0,0.1,"Female","SARAWAK"
"433"," 0 - 4",276,188.6,44,21.5,5.6,16.3,"Male","SELANGOR"
"434"," 5 - 9",268.8,174.2,52.4,26,4.9,11.4,"Male","SELANGOR"
"435"," 10 - 14",242,159,51.5,26.9,2.7,1.8,"Male","SELANGOR"
"436"," 15 - 19",241.8,145.8,53.9,28.4,1.9,11.8,"Male","SELANGOR"
"437"," 20 - 24",296.6,128.4,54.1,29.8,1.9,82.3,"Male","SELANGOR"
"438"," 25 - 29",358.3,153.8,62.9,33,2.9,105.8,"Male","SELANGOR"
"439"," 30 - 34",369.5,180.4,74.5,37.2,3,74.4,"Male","SELANGOR"
"440"," 35 - 39",312.1,154.8,75.5,33.9,1.3,46.6,"Male","SELANGOR"
"441"," 40 - 44",238.4,117.2,65.7,27,0.4,28.1,"Male","SELANGOR"
"442"," 45 - 49",197.7,95.6,61.7,24,0.2,16.1,"Male","SELANGOR"
"443"," 50 - 54",166.5,79.3,53.7,22.6,0.3,10.7,"Male","SELANGOR"
"444"," 55 - 59",137.1,63.6,47.8,19.2,0.2,6.3,"Male","SELANGOR"
"445"," 60 - 64",100,45,36.6,13.7,0.1,4.6,"Male","SELANGOR"
"446"," 65 - 69",70.9,31.3,27.7,9.8,0.1,2.1,"Male","SELANGOR"
"447"," 70 - 74",43.5,16.9,19.8,5.7,0,1,"Male","SELANGOR"
"448"," 75 - 79",21.8,7.9,10.6,2.7,0,0.6,"Male","SELANGOR"
"449"," 80 - 84",11.9,3.9,5.7,1.8,0,0.6,"Male","SELANGOR"
"450"," 85+",9.5,3.9,3.5,1.1,0,0.9,"Male","SELANGOR"
"451"," 0 - 4",257.3,175.9,41.4,19.6,5.2,15.4,"Female","SELANGOR"
"452"," 5 - 9",240.4,155.5,46.6,23.7,4.2,10.3,"Female","SELANGOR"
"453"," 10 - 14",232.1,150.6,49.7,28,2.3,1.5,"Female","SELANGOR"
"454"," 15 - 19",227.5,138.3,52.2,28.1,1.6,7.4,"Female","SELANGOR"
"455"," 20 - 24",264.6,130.5,52,29.7,1.9,50.5,"Female","SELANGOR"
"456"," 25 - 29",314.5,169.2,60.6,34.8,2.8,47.1,"Female","SELANGOR"
"457"," 30 - 34",347.5,192.9,77.9,36.1,2.8,37.8,"Female","SELANGOR"
"458"," 35 - 39",289.3,148.8,74.9,32.5,1.4,31.7,"Female","SELANGOR"
"459"," 40 - 44",214.6,109.2,58.9,24.9,0.5,21,"Female","SELANGOR"
"460"," 45 - 49",183.9,90,56.4,24,0.4,13.2,"Female","SELANGOR"
"461"," 50 - 54",152.8,72.8,49.5,21.6,0.4,8.4,"Female","SELANGOR"
"462"," 55 - 59",124.1,59,40.6,19.5,0.3,4.8,"Female","SELANGOR"
"463"," 60 - 64",94.9,43.6,32.6,15.3,0.2,3.3,"Female","SELANGOR"
"464"," 65 - 69",71.4,30.4,27.4,11.9,0.1,1.6,"Female","SELANGOR"
"465"," 70 - 74",49,19.6,20.8,7.6,0.1,0.9,"Female","SELANGOR"
"466"," 75 - 79",23.2,8.5,10.8,3.4,0,0.4,"Female","SELANGOR"
"467"," 80 - 84",13.2,4.4,6.4,2.1,0,0.3,"Female","SELANGOR"
"468"," 85+",9.5,4.3,3,1.7,0,0.5,"Female","SELANGOR"
"469"," 0 - 4",70,68.3,0.6,0,0.2,0.8,"Male","TERENGGANU"
"470"," 5 - 9",62.8,60.9,0.8,0.1,0.5,0.5,"Male","TERENGGANU"
"471"," 10 - 14",58.4,56.1,1.2,0.1,0.5,0.5,"Male","TERENGGANU"
"472"," 15 - 19",62.3,59.3,1.2,0.1,0.3,1.4,"Male","TERENGGANU"
"473"," 20 - 24",65.3,59.3,1.4,0.1,0.1,4.3,"Male","TERENGGANU"
"474"," 25 - 29",63.1,56.5,1.7,0.1,0.2,4.5,"Male","TERENGGANU"
"475"," 30 - 34",49.8,44.9,1.1,0.1,0.1,3.5,"Male","TERENGGANU"
"476"," 35 - 39",36.6,33.4,0.8,0,0,2.3,"Male","TERENGGANU"
"477"," 40 - 44",29.5,26.9,0.8,0.2,0,1.6,"Male","TERENGGANU"
"478"," 45 - 49",27.7,25.5,0.9,0.1,0,1.2,"Male","TERENGGANU"
"479"," 50 - 54",26.7,24.7,1,0.1,0,0.8,"Male","TERENGGANU"
"480"," 55 - 59",24.7,22.8,1.2,0.1,0,0.6,"Male","TERENGGANU"
"481"," 60 - 64",18.9,17.4,1.1,0.1,0,0.3,"Male","TERENGGANU"
"482"," 65 - 69",14,13.1,0.7,0,0,0.2,"Male","TERENGGANU"
"483"," 70 - 74",8.7,8,0.6,0,0,0.1,"Male","TERENGGANU"
"484"," 75 - 79",5.3,4.8,0.4,0,0,0.1,"Male","TERENGGANU"
"485"," 80 - 84",2.4,2.2,0.2,0,0,0,"Male","TERENGGANU"
"486"," 85+",2.2,1.9,0.1,0,0,0.1,"Male","TERENGGANU"
"487"," 0 - 4",65.6,64.1,0.5,0,0.2,0.7,"Female","TERENGGANU"
"488"," 5 - 9",59.9,58.2,0.7,0.1,0.3,0.6,"Female","TERENGGANU"
"489"," 10 - 14",55.1,53.4,0.9,0.1,0.3,0.4,"Female","TERENGGANU"
"490"," 15 - 19",58.9,56.9,0.9,0.1,0.2,0.8,"Female","TERENGGANU"
"491"," 20 - 24",61.2,58.2,1.2,0.1,0.1,1.7,"Female","TERENGGANU"
"492"," 25 - 29",57.1,53.8,1.4,0.2,0.1,1.6,"Female","TERENGGANU"
"493"," 30 - 34",42.4,39.6,0.9,0.1,0.1,1.7,"Female","TERENGGANU"
"494"," 35 - 39",32.5,30.6,0.6,0.1,0,1.2,"Female","TERENGGANU"
"495"," 40 - 44",30.2,28.2,0.7,0.1,0,1.2,"Female","TERENGGANU"
"496"," 45 - 49",29.3,27.8,0.7,0,0,0.8,"Female","TERENGGANU"
"497"," 50 - 54",28.7,27.1,0.8,0.1,0,0.7,"Female","TERENGGANU"
"498"," 55 - 59",25.6,24.2,0.9,0.1,0,0.4,"Female","TERENGGANU"
"499"," 60 - 64",20,18.9,0.8,0,0,0.3,"Female","TERENGGANU"
"500"," 65 - 69",14.1,13.2,0.7,0,0,0.2,"Female","TERENGGANU"
"501"," 70 - 74",9.8,9.2,0.5,0,0,0.1,"Female","TERENGGANU"
"502"," 75 - 79",6.6,6.2,0.2,0,0,0.1,"Female","TERENGGANU"
"503"," 80 - 84",2.8,2.6,0.2,0,0,0,"Female","TERENGGANU"
"504"," 85+",2.6,2.3,0.1,0,0,0.1,"Female","TERENGGANU"
"505"," 0 - 4",65.9,36.2,14.4,3.9,1.7,9.7,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"506"," 5 - 9",61.3,32.5,17.4,4.4,1.5,5.6,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"507"," 10 - 14",61.9,31.3,22.7,5.6,0.9,1.4,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"508"," 15 - 19",62.1,29.4,21.4,5.7,0.7,4.8,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"509"," 20 - 24",75.8,27.6,21.8,5.5,0.8,20.1,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"510"," 25 - 29",95,34.7,27.4,6.6,0.8,25.5,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"511"," 30 - 34",91.8,35.5,28.1,7.1,0.6,20.6,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"512"," 35 - 39",88.7,33.2,31.4,6.8,0.5,16.8,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"513"," 40 - 44",70.2,22.2,29.4,6,0.4,12.2,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"514"," 45 - 49",55.3,18.3,23.4,4.1,0.4,9.1,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"515"," 50 - 54",50.1,17.2,22,4.5,0.3,6.1,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"516"," 55 - 59",48.1,16.4,22,5,0.3,4.3,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"517"," 60 - 64",34,10.7,17,3.4,0.3,2.7,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"518"," 65 - 69",24.5,7.2,13.1,2.5,0.2,1.6,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"519"," 70 - 74",17,4.9,9.5,1.6,0.1,0.9,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"520"," 75 - 79",9.6,2.7,5.5,0.8,0.1,0.5,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"521"," 80 - 84",5.5,1.3,3.3,0.6,0,0.3,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"522"," 85+",3.6,1.2,1.8,0.3,0,0.3,"Male","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"523"," 0 - 4",62.4,33.9,13.9,3.9,1.5,9.2,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"524"," 5 - 9",57.1,30,16.4,3.5,1.2,6,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"525"," 10 - 14",56.1,29,20.3,4.9,0.8,1.1,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"526"," 15 - 19",59.5,29.1,20.5,5.2,0.6,4.1,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"527"," 20 - 24",71.8,27.5,21.3,5.3,1,16.6,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"528"," 25 - 29",86.4,34.9,26.4,7.2,0.7,17.1,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"529"," 30 - 34",90.6,38.9,30.4,7.7,0.5,13.1,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"530"," 35 - 39",84.2,34.7,31.1,6.9,0.5,11,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"531"," 40 - 44",63.5,21.5,26,5.5,0.5,10,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"532"," 45 - 49",56.5,20.7,24.3,5.6,0.5,5.4,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"533"," 50 - 54",54.3,19.5,24.9,5.7,0.4,3.6,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"534"," 55 - 59",39.5,12.8,19.1,4.8,0.4,2.5,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"535"," 60 - 64",32.5,11.2,15.7,3.7,0.3,1.5,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"536"," 65 - 69",24.7,8.1,12.8,2.7,0.2,0.9,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"537"," 70 - 74",17.3,5.5,9.2,1.9,0.1,0.5,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"538"," 75 - 79",10.2,2.9,5.8,1,0.1,0.4,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"539"," 80 - 84",5,1,3,0.6,0,0.3,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"540"," 85+",3.2,1.2,1.3,0.4,0,0.3,"Female","WILAYAH PERSEKUTUAN KUALA LUMPUR"
"541"," 0 - 4",4.7,3.6,0.2,0,0.5,0.4,"Male","WILAYAH PERSEKUTUAN LABUAN"
"542"," 5 - 9",4.5,3.4,0.3,0,0.3,0.5,"Male","WILAYAH PERSEKUTUAN LABUAN"
"543"," 10 - 14",4.5,3.8,0.3,0,0.1,0.2,"Male","WILAYAH PERSEKUTUAN LABUAN"
"544"," 15 - 19",4.1,3.2,0.3,0,0.1,0.4,"Male","WILAYAH PERSEKUTUAN LABUAN"
"545"," 20 - 24",3.9,2.9,0.3,0,0.1,0.5,"Male","WILAYAH PERSEKUTUAN LABUAN"
"546"," 25 - 29",4.4,3.1,0.3,0,0.1,0.9,"Male","WILAYAH PERSEKUTUAN LABUAN"
"547"," 30 - 34",5.2,4.1,0.3,0.1,0.1,0.6,"Male","WILAYAH PERSEKUTUAN LABUAN"
"548"," 35 - 39",5.1,4.1,0.3,0,0.1,0.6,"Male","WILAYAH PERSEKUTUAN LABUAN"
"549"," 40 - 44",3,2.1,0.3,0,0,0.5,"Male","WILAYAH PERSEKUTUAN LABUAN"
"550"," 45 - 49",2.6,1.9,0.3,0,0,0.4,"Male","WILAYAH PERSEKUTUAN LABUAN"
"551"," 50 - 54",2.4,1.7,0.3,0,0,0.3,"Male","WILAYAH PERSEKUTUAN LABUAN"
"552"," 55 - 59",2.1,1.6,0.3,0,0,0.2,"Male","WILAYAH PERSEKUTUAN LABUAN"
"553"," 60 - 64",1.5,1.1,0.3,0,0,0.1,"Male","WILAYAH PERSEKUTUAN LABUAN"
"554"," 65 - 69",0.9,0.6,0.2,0,0,0,"Male","WILAYAH PERSEKUTUAN LABUAN"
"555"," 70 - 74",0.5,0.3,0.1,0,0,0,"Male","WILAYAH PERSEKUTUAN LABUAN"
"556"," 75 - 79",0.3,0.2,0.1,0,0,0,"Male","WILAYAH PERSEKUTUAN LABUAN"
"557"," 80 - 84",0.2,0.1,0,0,0,0,"Male","WILAYAH PERSEKUTUAN LABUAN"
"558"," 85+",0.2,0.1,0.1,0,0,0,"Male","WILAYAH PERSEKUTUAN LABUAN"
"559"," 0 - 4",4.5,3.4,0.2,0,0.4,0.4,"Female","WILAYAH PERSEKUTUAN LABUAN"
"560"," 5 - 9",4.3,3.3,0.3,0,0.3,0.5,"Female","WILAYAH PERSEKUTUAN LABUAN"
"561"," 10 - 14",4.3,3.6,0.4,0,0.1,0.2,"Female","WILAYAH PERSEKUTUAN LABUAN"
"562"," 15 - 19",4.1,3.3,0.4,0,0.1,0.4,"Female","WILAYAH PERSEKUTUAN LABUAN"
"563"," 20 - 24",4.4,3.2,0.4,0,0.1,0.7,"Female","WILAYAH PERSEKUTUAN LABUAN"
"564"," 25 - 29",4.8,3.4,0.4,0.1,0.1,0.8,"Female","WILAYAH PERSEKUTUAN LABUAN"
"565"," 30 - 34",5.1,3.9,0.5,0.1,0.1,0.6,"Female","WILAYAH PERSEKUTUAN LABUAN"
"566"," 35 - 39",4.8,3.8,0.4,0,0,0.5,"Female","WILAYAH PERSEKUTUAN LABUAN"
"567"," 40 - 44",2.9,2.2,0.3,0,0,0.4,"Female","WILAYAH PERSEKUTUAN LABUAN"
"568"," 45 - 49",2.8,2.1,0.3,0,0,0.3,"Female","WILAYAH PERSEKUTUAN LABUAN"
"569"," 50 - 54",2.2,1.6,0.3,0,0,0.2,"Female","WILAYAH PERSEKUTUAN LABUAN"
"570"," 55 - 59",1.7,1.2,0.3,0,0,0.1,"Female","WILAYAH PERSEKUTUAN LABUAN"
"571"," 60 - 64",1.3,0.9,0.3,0,0,0.1,"Female","WILAYAH PERSEKUTUAN LABUAN"
"572"," 65 - 69",0.8,0.5,0.2,0,0,0.1,"Female","WILAYAH PERSEKUTUAN LABUAN"
"573"," 70 - 74",0.5,0.3,0.1,0,0,0,"Female","WILAYAH PERSEKUTUAN LABUAN"
"574"," 75 - 79",0.3,0.2,0.1,0,0,0,"Female","WILAYAH PERSEKUTUAN LABUAN"
"575"," 80 - 84",0.1,0.1,0,0,0,0,"Female","WILAYAH PERSEKUTUAN LABUAN"
"576"," 85+",0.2,0.1,0.1,0,0,0,"Female","WILAYAH PERSEKUTUAN LABUAN"
"577"," 0 - 4",7.1,6.9,0,0.1,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"578"," 5 - 9",7.1,7,0,0.1,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"579"," 10 - 14",3.6,3.6,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"580"," 15 - 19",2.7,2.6,0,0.1,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"581"," 20 - 24",2.1,1.9,0,0,0,0.2,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"582"," 25 - 29",1.9,1.5,0,0,0,0.4,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"583"," 30 - 34",3.3,2.9,0,0,0,0.3,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"584"," 35 - 39",5.4,5.1,0,0.1,0,0.2,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"585"," 40 - 44",2.7,2.5,0,0,0,0.2,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"586"," 45 - 49",1.7,1.6,0,0,0,0.1,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"587"," 50 - 54",1.5,1.4,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"588"," 55 - 59",1.6,1.5,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"589"," 60 - 64",1.1,1,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"590"," 65 - 69",0.4,0.4,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"591"," 70 - 74",0.1,0.1,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"592"," 75 - 79",0,0,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"593"," 80 - 84",0,0,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"594"," 85+",0.1,0,0,0,0,0,"Male","WILAYAH PERSEKUTUAN PUTRAJAYA"
"595"," 0 - 4",6.7,6.6,0,0.1,0,0,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"596"," 5 - 9",6.3,6.2,0,0.1,0,0,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"597"," 10 - 14",4,4,0,0,0,0,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"598"," 15 - 19",3.2,3.2,0,0,0,0,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"599"," 20 - 24",2.2,1.9,0,0,0,0.2,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"600"," 25 - 29",2.7,2.3,0,0,0,0.3,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"601"," 30 - 34",6.1,5.6,0,0.1,0,0.3,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"602"," 35 - 39",7.4,6.9,0,0.1,0,0.3,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
"603"," 40 - 44",2.9,2.6,0,0,0,0.3,"Female","WILAYAH PERSEKUTUAN PUTRAJAYA"
